threshold,n_flagged,flag_rate,tp,fp,fn,precision,recall,total_cost_inr,net_savings_inr
7.3384831e-05,45246,1.0,407,44839,0,0.00899527030013703,1.0,4918815.5928,-1849268.8128
0.000732048107,44793,0.9899880652433364,407,44386,0,0.009086241153751702,1.0,4909739.198999999,-1840192.4189999993
0.000868057414,44341,0.9799982318879017,406,43935,1,0.009156311314584695,0.9975429975429976,4903919.895149999,-1834373.1151499995
0.000961838885,43888,0.9699862971312381,406,43482,1,0.009250820269777615,0.9975429975429976,4896418.949100001,-1826872.169100001
0.001039532781,43436,0.9599964637758034,406,43030,1,0.0093470853669767,0.9975429975429976,4888582.00065,-1819035.22065
0.001114695592,42983,0.9499845290191398,405,42578,2,0.009422329758276528,0.995085995085995,4881895.11585,-1812348.33585
0.001179865113,42531,0.9399946956637051,405,42126,2,0.00952246596600127,0.995085995085995,4874285.4246,-1804738.6445999998
0.001243324064,42078,0.9299827609070415,405,41673,2,0.009624982175958934,0.995085995085995,4865452.79355,-1795906.0135499998
0.001308860975,41626,0.9199929275516068,404,41222,3,0.009705472541200211,0.9926289926289926,4856687.8270499995,-1787141.0470499997
0.001372961019,41173,0.9099809927949432,404,40769,3,0.009812255604400943,0.9926289926289926,4845575.6872499995,-1776028.9072499997
0.001430749946,40721,0.8999911594395085,404,40317,3,0.009921170894624395,0.9926289926289926,4833894.5238,-1764347.7437999998
0.001496354386,40269,0.8900013260840738,404,39865,3,0.010032531227495095,0.9926289926289926,4821647.830949999,-1752101.0509499996
0.001554070641,39816,0.8799893913274102,403,39413,4,0.010121559172192084,0.9901719901719902,4811019.924349999,-1741473.1443499993
0.001613273533,39364,0.8699995579719754,403,38961,4,0.01023778071334214,0.9901719901719902,4797449.750449999,-1727902.9704499994
0.001667756092,38911,0.8599876232153119,403,38508,4,0.010356968466500475,0.9901719901719902,4782192.220549999,-1712645.440549999
0.001723100226,38459,0.8499977898598771,403,38056,4,0.01047869159364518,0.9901719901719902,4766874.18545,-1697327.40545
0.001782766846,38006,0.8399858551032136,403,37603,4,0.010603588907014683,0.9901719901719902,4753032.1679,-1683485.3879
0.001839187236,37554,0.8299960217477788,403,37151,4,0.010731213718911434,0.9901719901719902,4737858.211549999,-1668311.4315499994
0.001895468837,37101,0.8199840869911152,402,36699,5,0.010835287458559068,0.9877149877149877,4724052.228099999,-1654505.4480999992
0.001948965416,36649,0.8099942536356805,400,36249,7,0.010914349641190755,0.9828009828009828,4712800.743650001,-1643253.9636500007
0.002002203109,36196,0.7999823188790169,399,35797,8,0.011023317493645707,0.9803439803439803,4697099.4085,-1627552.6285
0.002056518633,35744,0.7899924855235821,398,35346,9,0.011134735899731423,0.9778869778869779,4683098.26235,-1613551.4823500006
0.002112694789,35292,0.7800026521681475,397,34895,10,0.011249008273829762,0.9754299754299754,4667964.026149999,-1598417.2461499996
0.002165328794,34839,0.7699907174114838,397,34442,10,0.011395275409741955,0.9754299754299754,4650887.329849999,-1581340.5498499996
0.002217740591,34387,0.7600008840560492,396,33991,11,0.011515979876115974,0.972972972972973,4633979.33335,-1564432.5533500002
0.002274869772,33934,0.7499889492993855,395,33539,12,0.011640242824306006,0.9705159705159705,4615954.1596,-1546407.3796
0.002326109118,33482,0.7399991159439508,394,33088,13,0.011767516874738666,0.9680589680589681,4599121.98685,-1529575.2068500002
0.00238732257,33029,0.7299871811872872,392,32637,15,0.011868358109540102,0.9631449631449631,4583441.58005,-1513894.8000500002
0.002447603363,32577,0.7199973478318525,392,32185,15,0.012033029437947018,0.9631449631449631,4565726.766650001,-1496179.9866500008
0.002508609815,32124,0.7099854130751889,390,31734,17,0.012140455734030631,0.9582309582309583,4553354.039849999,-1483807.2598499996
0.00256714472,31672,0.6999955797197542,388,31284,19,0.012250568325334681,0.9533169533169533,4537954.554049999,-1468407.7740499997
0.002632325361,31220,0.6900057463643195,385,30835,22,0.01233183856502242,0.9459459459459459,4526129.7104,-1456582.9304000004
0.00269516993,30767,0.6799938116076559,384,30383,23,0.012480904865602755,0.9434889434889435,4505225.528650001,-1435678.748650001
0.00275728975,30315,0.6700039782522212,380,29935,27,0.012535048655780966,0.9336609336609336,4491885.8558,-1422339.0758000002
0.002827419466,29862,0.6599920434955576,379,29483,28,0.012691715223360793,0.9312039312039312,4470958.749,-1401411.969
0.00289678547,29410,0.6500022101401229,378,29032,29,0.012852771166269976,0.9287469287469288,4447596.00485,-1378049.2248500003
0.002968509819,28957,0.6399902753834593,377,28580,30,0.013019304485961943,0.9262899262899262,4428840.2036,-1359293.4235999999
0.003042262691,28505,0.6300004420280246,377,28128,30,0.013225749868444133,0.9262899262899262,4404935.90345,-1335389.1234500003
0.003117871043,28052,0.619988507271361,377,27675,30,0.013439326964209325,0.9262899262899262,4379748.11375,-1310201.3337499998
0.003198101774,27600,0.6099986739159262,377,27223,30,0.013659420289855072,0.9262899262899262,4354456.8704,-1284910.0904000006
0.00327758954,27147,0.5999867391592627,373,26774,34,0.013740008104026228,0.9164619164619164,4341424.5963,-1271877.8163000005
0.003353922198,26695,0.5899969058038279,373,26322,34,0.013972654055066492,0.9164619164619164,4312922.536800001,-1243375.756800001
0.003434186688,26243,0.5800070724483932,372,25871,35,0.014175208627062454,0.914004914004914,4291480.8845999995,-1221934.1045999997
0.003519894547,25790,0.5699951376917296,370,25420,37,0.014346645986816595,0.9090909090909091,4269308.891949999,-1199762.1119499994
0.003600048416,25338,0.5600053043362949,369,24969,38,0.014563106796116505,0.9066339066339066,4243128.70905,-1173581.92905
0.003685193637,24885,0.5499933695796313,367,24518,40,0.014747840064295761,0.9017199017199017,4218004.8472,-1148458.0672
0.003777728689,24433,0.5400035362241966,365,24068,42,0.01493881226210453,0.8968058968058968,4198484.60605,-1128937.8260499998
0.003864365862,23980,0.529991601467533,362,23618,45,0.015095913261050876,0.8894348894348895,4174207.0027,-1104660.2227000003
0.003956803757,23528,0.5200017681120983,362,23166,45,0.015385923155389324,0.8894348894348895,4145154.92305,-1075608.14305
0.004049601824,23075,0.5099898333554347,358,22717,49,0.01551462621885157,0.8796068796068796,4162359.7745,-1092812.9945
0.004148105975,22623,0.5,358,22265,49,0.015824603279847943,0.8796068796068796,4131381.03695,-1061834.2569500003
0.004246994891,22171,0.49001016664456526,356,21815,51,0.016057011411303054,0.8746928746928747,4102364.0513,-1032817.2713000001
0.004354039367,21718,0.4799982318879017,355,21363,52,0.01634588820333364,0.8722358722358723,4067336.9976999993,-997790.2176999995
0.004464670683,21266,0.47000839853246695,354,20912,53,0.01664628985234647,0.8697788697788698,4033239.2685999996,-963692.4885999998
0.00456656915,20813,0.4599964637758034,352,20461,55,0.016912506606447893,0.8648648648648649,4003509.5456999997,-933962.7656999999
0.004679742385,20361,0.45000663042036865,349,20012,58,0.017140611954226215,0.8574938574938575,3971525.8290999997,-901979.0491
0.004805221689,19908,0.4399946956637051,349,19559,58,0.01753064094836247,0.8574938574938575,3932098.414,-862551.6340000001
0.004940757151,19456,0.43000486230827034,349,19107,58,0.017937911184210526,0.8574938574938575,3888547.98235,-819001.2023500004
0.005074517001,19003,0.4199929275516068,347,18656,60,0.018260274693469452,0.8525798525798526,3853868.14285,-784321.3628500002
0.00521948836,18551,0.41000309419617204,345,18206,62,0.01859738019513773,0.8476658476658476,3821577.0399499997,-752030.2599499999
0.005372799485,18098,0.39999115943950847,344,17754,63,0.01900762515195049,0.8452088452088452,3775039.6751,-705492.8951000003
0.005529778484,17646,0.39000132608407373,342,17304,65,0.019381162869772185,0.8402948402948403,3738199.39385,-668652.6138500003
0.005680266419,17194,0.380011492728639,341,16853,66,0.019832499709200885,0.8378378378378378,3689848.2899999996,-620301.5099999998
0.005841912241,16741,0.3699995579719754,340,16401,67,0.02030941998685861,0.8353808353808354,3639166.03435,-569619.2543500001
0.006004103518,16289,0.3600097246165407,338,15951,69,0.020750199521149242,0.8304668304668305,3598280.4886,-528733.7086
0.006177773077,15836,0.3499977898598771,337,15499,70,0.021280626420813336,0.828009828009828,3548807.33895,-479260.55895
0.006352553107,15384,0.3400079565044424,335,15049,72,0.021775871034841392,0.8230958230958231,3496549.67115,-427002.89115000004
0.006532639394,14931,0.3299960217477788,334,14597,73,0.022369566673364143,0.8206388206388207,3437377.88915,-367831.1091500004
