param_name,param_value,optimal_threshold,threshold_stepup_review,n_review,n_stepup,net_savings_inr
step_up_abandon_rate,0.1,0.0142912864464524,0.146008042569217,41,6255,1811638.8244800016
step_up_abandon_rate,0.15,0.0169171688883937,0.146008042569217,41,5018,1526823.5541399983
step_up_abandon_rate,0.2,0.0243388054432569,0.1135046386125247,108,3004,1333029.8691599984
step_up_abandon_rate,0.25,0.0244250300855189,0.0823954944078569,308,2786,1199620.1860000002
step_up_abandon_rate,0.3,0.0440015278339874,0.0538773503835079,794,428,1098731.978320001
step_up_abandon_rate,0.35,0.044408456223272,0.0449589683885347,1164,33,1088711.7028200007
step_up_abandon_rate,0.4,0.044408456223272,0.0449589683885347,1164,33,1087873.6060800003
dispute_fee,500.0,0.0440015278339874,0.0823954944078569,308,914,1000980.7608000003
dispute_fee,1000.0,0.0244250300855189,0.0823954944078569,308,2786,1098120.186
dispute_fee,1500.0,0.0244250300855189,0.0823954944078569,308,2786,1199620.1860000002
dispute_fee,2000.0,0.0243388054432569,0.0823954944078569,308,2804,1301483.3637000006
dispute_fee,3000.0,0.0243388054432569,0.0823954944078569,308,2804,1505483.3637
merchant_margin,0.05,0.0138350785570155,0.1771617037039123,14,6523,1992274.9591250003
merchant_margin,0.1,0.0142912864464524,0.146008042569217,41,6255,1585932.7239999995
merchant_margin,0.18,0.0244250300855189,0.0823954944078569,308,2786,1199620.1860000002
merchant_margin,0.25,0.044408456223272,0.0449589683885347,1164,33,1088758.2637500004
merchant_margin,0.35,0.044408456223272,0.0449589683885347,1164,33,1086430.2172500005
ops_review_cost,100.0,0.0142912864464524,0.0142971925770581,6294,2,1721904.3400000017
ops_review_cost,200.0,0.0244250300855189,0.028345560290027,2509,585,1283129.903550001
ops_review_cost,300.0,0.0244250300855189,0.0823954944078569,308,2786,1199620.1860000002
ops_review_cost,500.0,0.0243388054432569,0.146008042569217,41,3071,1220469.4325000006
ops_review_cost,800.0,0.0243388054432569,0.146008042569217,41,3071,1269369.4325000006
